year,IPO,Symbol,Listing Date,IPO Size,Sub,GMP,IPO Price,Estimated Price,Listing Price,Listing Day Cls Price,Closing Price (LTP)
2021,Windlas Biotech,"WINDLAS, 543329",16-Aug-21,₹401.54 Cr,22.44x,₹80,₹460.00,₹540,₹437.00 (-5.00%),₹407.15 (-11.49%),₹829.95 (80.42%)
2021,Exxaro Tiles,"EXXARO, 543327",16-Aug-21,₹160.78 Cr,22.65x,₹5,₹120.00,₹125,₹126.00 (5.00%),₹132.30 (10.25%),₹6.55 (-45.42%)
2021,Rolex Rings,"ROLEXRINGS, 543325",9-Aug-21,₹731.00 Cr,130.44x,₹455,₹900.00,₹1355,₹1250.00 (38.89%),₹1167.00 (29.67%),₹141.07 (56.74%)
2021,Glenmark Life Sciences,"ALIVUS, 543322",6-Aug-21,₹1513.60 Cr,44.17x,₹82,₹720.00,₹802,₹750.00 (4.17%),₹748.50 (3.96%),₹1160.1 (61.12%)
2021,Tatva Chintan Pharma,"TATVA, 543321",29-Jul-21,₹500.00 Cr,180.36x,₹1110,₹1083.00,₹2193,₹2111.85 (95.00%),₹2312.20 (113.50%),₹1326.5 (22.48%)
2021,Zomato,"ETERNAL, 543320",23-Jul-21,₹9375.00 Cr,38.25x,₹22,₹76.00,₹98,₹116.00 (52.63%),₹125.85 (65.59%),₹289.65 (281.12%)
2021,G R Infraprojects,"GRINFRA, 543317",19-Jul-21,₹962.37 Cr,102.58x,₹575,₹837.00,₹1412,₹1715.85 (105.00%),₹1747.10 (108.73%),₹909.1 (8.61%)
2021,Clean Science and Technology,"CLEAN, 543318",19-Jul-21,₹1546.62 Cr,93.41x,₹615,₹900.00,₹1515,₹1755.00 (95.00%),₹1585.25 (76.14%),₹770.05 (-14.44%)
2021,India Pesticides,"IPL, 543311",5-Jul-21,₹800.00 Cr,29.04x,₹35,₹296.00,₹331,₹350.00 (18.24%),₹343.15 (15.93%),₹157.4 (-46.82%)
2021,KIMS,"KIMS, 543308",28-Jun-21,₹2143.92 Cr,3.86x,₹75,₹825.00,₹900,₹1009.00 (22.30%),₹996.95 (20.84%),₹814.9 (393.88%)
2021,Dodla Dairy,"DODLA, 543306",28-Jun-21,₹520.18 Cr,45.62x,₹80,₹428.00,₹508,₹550.00 (28.50%),₹609.90 (42.50%),₹1118.1 (161.24%)
2021,Shyam Metalics and Energy,"SHYAMMETL, 543299",24-Jun-21,₹908.80 Cr,121.43x,₹130,₹306.00,₹436,₹380.00 (24.18%),₹376.15 (22.92%),₹975.1 (218.66%)
2021,Sona Comstar,"SONACOMS, 543300",24-Jun-21,₹5550.00 Cr,2.28x,₹3,₹291.00,₹294,₹301.00 (3.44%),₹362.85 (24.69%),₹668.55 (129.74%)
2021,Kalyan Jewellers,"KALYANKJIL, 543278",26-Mar-21,₹1174.82 Cr,2.61x,₹-5,₹87.00,₹82,₹73.95 (-15.00%),₹75.30 (-13.45%),₹476.15 (447.3%)
2021,Suryoday Small Finance Bank,"SURYODAY, 543279",26-Mar-21,₹581.98 Cr,2.37x,₹-10,₹305.00,₹295,₹292.00 (-4.26%),₹277.80 (-8.92%),₹184.31 (-39.57%)
2021,Nazara Technologies,"NAZARA, 543280",30-Mar-21,₹582.69 Cr,175.46x,₹740,₹1101.00,₹1841,₹1990.00 (80.74%),₹1592.00 (44.60%),₹304.3 (-44.67%)
2021,Laxmi Organic,"LXCHEM, 543277",25-Mar-21,₹600.00 Cr,106.81x,₹40,₹130.00,₹170,₹155.50 (19.62%),₹164.60 (26.62%),₹155.51 (19.62%)
