filename,total_pages,risk_start_page,risk_end_page,risk_pages,chars,words,n_tables,status,error
Macrotech_Developers_Ltd_.pdf,513,25,52,27,148897,23097,30,ok,
Mamata_Machinery_Ltd_.pdf,477,38,70,32,152059,21492,192,ok,
Manaksia_Ltd_.pdf,360,16,34,18,61099,9592,14,ok,
Manba_Finance_Ltd_.pdf,468,33,82,49,216067,30987,238,ok,
Mangal_Electrical_Industries_Ltd_.pdf,466,31,72,41,186397,26784,164,ok,
Mankind_Pharma_Ltd_.pdf,588,47,98,51,253968,37670,84,ok,
Manoj_Vaibhav_Gems__N__Jewellers_Ltd_.pdf,416,,,0,0,0,0,manual_review_ocr_needed,pdf appears to be image-only (no text layer in first 10 pages)
Mazagon_Dock_Shipbuilders_Ltd_.pdf,593,16,45,29,138631,21274,29,ok,
Medi_Assist_Healthcare_Services_Ltd_.pdf,452,32,76,44,209838,30425,176,ok,
Medplus_Health_Services_Ltd_.pdf,385,31,59,28,160471,24595,35,ok,
Meesho_Ltd_.pdf,689,94,141,47,195766,28960,109,ok,
Metro_Brands_Ltd_.pdf,508,30,61,31,165419,25788,23,ok,
Metropolis_Healthcare_Ltd_.pdf,733,21,52,31,146097,22440,35,ok,
Midwest_Ltd_.pdf,553,35,81,46,221661,31294,236,ok,
Motisons_Jewellers_Ltd_.pdf,492,38,95,57,133926,19129,144,ok,
Mrs_Bectors_Food_Specialities_Ltd_.pdf,413,24,57,33,162757,25313,21,ok,
Mukka_Proteins_Ltd_.pdf,554,48,109,61,258638,38275,0,ok_A_strict_plaintext,md_fail: None; tried: A_strict=pp48-109
Muthoot_Microfin_Ltd_.pdf,520,35,69,34,197949,27831,225,ok,
NTPC_Green_Energy_Ltd_.pdf,643,35,98,63,303373,43670,228,ok,
National_Securities_Depository_Ltd_.pdf,480,33,111,78,349551,46739,253,ok,
Nazara_Technologies_Ltd_.pdf,420,25,58,33,197855,30141,27,ok,
Neogen_Chemicals_Ltd_.pdf,553,18,44,26,129167,19835,54,ok,
Nephrocare_Health_Services_Ltd_.pdf,648,53,119,66,321306,45890,338,ok,
Netweb_Technologies_India_Ltd_.pdf,506,35,72,37,177166,26791,109,ok,
Niva_Bupa_Health_Insurance_Co_Ltd_.pdf,538,30,78,48,277148,40759,260,ok,
Northern_Arc_Capital_Ltd_.pdf,579,37,84,47,257428,38015,199,ok,
Nova_AgriTech_Ltd_.pdf,462,32,68,36,199947,30080,94,ok,
Nureca_Ltd_.pdf,335,26,49,23,112575,17352,5,ok,
Nuvoco_Vistas_Corp_Ltd_.pdf,528,27,76,49,264063,40630,42,ok,
Ola_Electric_Mobility_Ltd_.pdf,461,32,82,50,272970,41058,173,ok,
Om_Freight_Forwarders_Ltd_.pdf,478,46,83,37,193679,28797,80,ok,
Om_Power_Transmission_Ltd_.pdf,530,27,79,52,265022,37276,248,ok,
Omnitech_Engineering_Ltd_.pdf,570,36,90,54,223650,31117,323,ok,
OnEMI_Technology_Solutions_Ltd_.pdf,464,23,64,41,255078,37720,185,ok,
One_97_Communications_Ltd_.pdf,497,34,75,41,220451,33726,24,ok,
One_Mobikwik_Systems_Ltd_.pdf,524,33,84,51,269188,40672,57,ok,
Orient_Technologies_Ltd_.pdf,479,32,65,33,152176,22650,119,ok,
Orkla_India_Ltd_.pdf,535,40,90,50,252963,36293,275,ok,
Oswal_Pumps_Ltd_.pdf,582,36,87,51,253161,35916,352,ok,
PB_Fintech_Ltd_.pdf,479,41,93,52,210690,30717,109,ok,
PNGS_Reva_Diamond_Jewellery_Ltd_.pdf,476,41,78,37,170974,24141,110,ok,
P_N_Gadgil_Jewellers_Ltd_.pdf,412,32,71,39,216950,32479,150,ok,
Pace_Digitek_Ltd_.pdf,599,41,92,51,210369,29162,264,ok,
