company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
Krystal Integrated Services Ltd.,2024,2024-03-21,-0.0037762237762238,Krystal_Integrated_Services_Ltd_,186499,29053,76,76,0,,False,0,7,6,0,0,1,0,0,3,0,8,10,8,0,0,ok_E_standalone,ok_patched
SRM Contractors Ltd.,2024,2024-04-03,0.1247619047619047,SRM_Contractors_Ltd_,166752,25957,78,80,2,"24,25",False,2,1,0,0,0,1,0,0,7,0,5,8,0,0,3,ok,ok
Bharti Hexacom Ltd.,2024,2024-04-12,0.4276315789473684,Bharti_Hexacom_Ltd_,162362,25304,69,73,4,"5,6,23,24",False,0,1,0,1,0,0,0,2,7,0,6,13,7,4,0,ok,ok
JNK India Ltd.,2024,2024-04-30,0.6721686746987953,JNK_India_Ltd_,169609,26604,68,68,0,,False,1,4,0,0,0,1,0,0,4,0,15,6,0,0,0,ok,ok
Indegene Ltd.,2024,2024-05-13,0.2624999999999999,Indegene_Ltd_,184620,28473,79,79,0,,False,0,0,5,0,0,4,0,5,6,0,5,8,0,0,0,ok,ok
Aadhar Housing Finance Ltd.,2024,2024-05-15,0.0461904761904762,Aadhar_Housing_Finance_Ltd_,167628,26452,50,50,0,,False,4,9,0,0,0,4,0,1,7,0,10,7,10,0,0,ok,ok
TBO Tek Ltd.,2024,2024-05-15,0.5270108695652173,TBO_Tek_Ltd_,222244,34398,79,82,3,"9,16,20",False,1,13,0,11,0,1,0,4,3,0,10,8,8,0,0,ok,ok
Go Digit General Insurance Ltd.,2024,2024-05-23,0.1240808823529411,Go_Digit_General_Insurance_Ltd_,291896,45552,95,95,0,,False,11,44,0,0,0,1,0,0,4,1,10,13,6,2,0,ok,ok
Awfis Space Solutions Ltd.,2024,2024-05-30,0.0942558746736293,Awfis_Space_Solutions_Ltd_,173197,27158,72,72,0,,False,1,3,0,0,0,1,0,7,0,1,6,8,0,0,0,ok,ok
Kronox Lab Sciences Ltd.,2024,2024-06-10,0.1716911764705881,Kronox_Lab_Sciences_Ltd_,127415,19823,60,61,1,12,False,0,1,6,1,0,1,0,0,0,0,3,0,0,0,1,ok,ok
Le Travenues Technology Ltd.,2024,2024-06-18,0.7418279569892474,Le_Travenues_Technology_Ltd_,172225,26679,83,83,0,,False,1,1,0,0,0,1,0,5,1,0,10,9,1,0,0,ok,ok
